Trust,TrustInScience,TrustInEdScience,Topic,Source,Consistency,lfdn,weight0
3,4,3,Signalling,Scientific Study,Consistent,288,0.922
4,4,3,Retention,Episodic Evidence,Consistent,288,0.922
3,4,3,Grades,Scientific Study,Inconsistent,289,0.544
3,4,3,Integration,Episodic Evidence,Consistent,289,0.544
3,4,3,Retention,Scientific Study,Consistent,292,0.804
3,4,3,Integration,Episodic Evidence,Consistent,292,0.804
4,2,3,Integration,Scientific Study,Consistent,294,1.209
4,2,3,Signalling,Episodic Evidence,Inconsistent,294,1.209
4,4,4,Integration,Episodic Evidence,Inconsistent,296,1.101
4,4,4,Grades,Scientific Study,Consistent,296,1.101
3,4,3,Retention,Scientific Study,Inconsistent,297,0.842
3,4,3,Integration,Episodic Evidence,Inconsistent,297,0.842
3,5,4,Integration,Scientific Study,Consistent,299,0.922
NA,5,4,Retention,Episodic Evidence,Consistent,299,0.922
2,4,4,Retention,Scientific Study,Consistent,304,0.842
2,4,4,Grades,Episodic Evidence,Consistent,304,0.842
2,3,4,Grades,Episodic Evidence,Inconsistent,305,1.16
5,3,4,Integration,Scientific Study,Consistent,305,1.16
2,4,3,Signalling,Episodic Evidence,Inconsistent,306,0.922
2,4,3,Grades,Scientific Study,Consistent,306,0.922
3,4,3,Signalling,Scientific Study,Inconsistent,307,0.842
4,4,3,Grades,Episodic Evidence,Consistent,307,0.842
2,3,3,Retention,Scientific Study,Inconsistent,308,1.209
NA,3,3,Integration,Episodic Evidence,Inconsistent,308,1.209
NA,5,4,Grades,Episodic Evidence,Consistent,309,0.651
NA,5,4,Retention,Scientific Study,Consistent,309,0.651
NA,4,4,Integration,Scientific Study,Inconsistent,310,1.209
1,4,4,Signalling,Episodic Evidence,Consistent,310,1.209
3,4,3,Retention,Scientific Study,Consistent,311,1.16
